order_id,customer_id,cust_type,product_code,plant_id,order_date,delivery_date,order_quantity,order_value,order_status,geo_region,geo_zone,sbu_id,sbu_grp,org_unit,gbe_id,shipment_id,handled_by,customer_segment,customer_priority,material_num,discount,payment_type,tax_applied,freight_cost,currency,exchange_rate,order_fulfilled_by,returns,is_expedited
44,1475,Wholesale,596,21,2024-02-13,2024-02-17,28,1711.8689918009513,Cancelled,West,Zone1,86,GroupB,Unit2,5233,10481,AgentA,Large,High,13307,0.04176740409039677,UPI,14.11013401411408,151.07389315476667,EUR,1.3060215953062757,Warehouse2,0,True
45,1699,Wholesale,615,26,2024-02-14,2024-02-18,40,1950.4529620237702,Cancelled,East,Zone1,78,GroupB,Unit1,5367,10347,AgentA,Small,Medium,27745,0.061354550270566466,Card,13.524418169702477,370.4542791023436,INR,1.3728221102059295,Warehouse1,2,False
46,1975,Retail,448,25,2024-02-15,2024-02-19,84,295.97701763781845,Cancelled,North,Zone1,67,GroupC,Unit3,5694,10165,AgentB,Medium,Low,49433,0.09504549340034806,Card,14.537949970586139,390.00434945666666,USD,1.309450477500691,Warehouse2,1,False
47,1782,Retail,496,21,2024-02-16,2024-02-20,97,3967.752898760798,Delivered,East,Zone3,53,GroupA,Unit3,5844,10936,AgentA,Medium,High,47062,0.08987026334590925,UPI,9.757829713036493,406.32331899156947,INR,0.9832039545449941,Warehouse1,1,True
48,1189,Retail,821,17,2024-02-17,2024-02-21,76,1995.1340369454708,Cancelled,East,Zone3,83,GroupA,Unit3,5231,10347,AgentA,Large,Low,44555,0.14171582501299984,NetBanking,10.25875020775813,289.6735195282252,USD,1.4973811208461865,Warehouse3,3,False
49,1957,Wholesale,260,93,2024-02-18,2024-02-22,15,4175.389058521354,Pending,South,Zone1,65,GroupA,Unit3,5872,10848,AgentA,Medium,Medium,11073,0.1246863586886722,Card,12.198161397553168,15.148919068798023,USD,1.0476021549754435,Warehouse2,0,True
50,1686,Retail,115,12,2024-02-19,2024-02-23,41,9356.444875203777,Delivered,North,Zone3,52,GroupA,Unit3,5490,10397,AgentB,Small,Low,42683,0.12887923245637314,Card,17.194365655738075,383.2213798686618,EUR,0.7195717622071467,Warehouse3,3,True
51,1957,Wholesale,592,25,2024-02-20,2024-02-24,39,4362.348074121181,Pending,North,Zone3,98,GroupA,Unit2,5618,10582,AgentC,Medium,High,35741,0.14281086613109148,Card,14.411998363554314,62.23275041638152,INR,0.9900935612683697,Warehouse3,1,True
52,1562,Retail,525,39,2024-02-21,2024-02-25,2,8792.046520149865,Pending,South,Zone2,43,GroupC,Unit3,5502,10725,AgentB,Medium,Low,32286,0.05852254548469307,Card,12.162860178450902,67.26697924799689,USD,0.8022263636590745,Warehouse1,1,False
53,1875,Retail,207,32,2024-02-22,2024-02-26,63,6094.497189497177,Cancelled,East,Zone1,39,GroupB,Unit2,5889,10434,AgentB,Small,Low,13599,0.06446666236009473,Card,15.015369193657289,306.7561532966148,EUR,0.7971540925827,Warehouse2,4,False
54,1566,Retail,993,14,2024-02-23,2024-02-27,29,2546.60239114778,Cancelled,West,Zone3,80,GroupA,Unit1,5734,10576,AgentB,Large,Medium,37293,0.08759954957911083,Card,9.821574059099525,491.9250553023978,INR,0.9252280320855154,Warehouse3,4,False
55,1243,Retail,549,93,2024-02-24,2024-02-28,74,3622.9621166661927,Pending,North,Zone3,79,GroupB,Unit3,5591,10220,AgentA,Large,Medium,25389,0.06149243460670522,UPI,14.496067114876817,128.84434190024191,INR,0.7427003953418087,Warehouse1,4,False
56,1831,Wholesale,410,74,2024-02-25,2024-02-29,66,930.8034046321512,Pending,North,Zone1,64,GroupC,Unit1,5745,10307,AgentC,Medium,Low,22318,0.1969875737941727,UPI,10.338791227675104,326.4473312250917,USD,1.2508097507276505,Warehouse1,3,True
57,1504,Wholesale,838,39,2024-02-26,2024-03-01,51,3401.279676600504,Delivered,East,Zone2,76,GroupC,Unit2,5380,10990,AgentB,Small,Low,13055,0.16281038528428593,Card,8.63559829119482,158.7902864114245,USD,0.7591911073615241,Warehouse1,0,True
58,1130,Retail,269,30,2024-02-27,2024-03-02,75,6807.655360484987,Cancelled,East,Zone1,22,GroupA,Unit2,5695,10797,AgentB,Large,Low,27043,0.032930937651205916,UPI,12.926412617789802,450.3757956691595,USD,0.8626316443487649,Warehouse2,4,False
59,1484,Retail,645,93,2024-02-28,2024-03-03,77,813.8998200014083,Delivered,North,Zone2,12,GroupC,Unit1,5427,10696,AgentC,Large,Medium,16320,0.0011188311763739023,NetBanking,13.9294082754524,300.8232771357934,INR,0.7743197715952954,Warehouse2,2,False
60,1818,Wholesale,513,79,2024-02-29,2024-03-04,10,2133.4739439324903,Delivered,East,Zone1,35,GroupB,Unit3,5696,10718,AgentC,Medium,Medium,49281,0.008556653649453572,NetBanking,10.970816295334334,111.66389055167072,USD,0.7505341847224248,Warehouse1,4,True
61,1646,Wholesale,350,31,2024-03-01,2024-03-05,14,3876.2663099917836,Delivered,West,Zone1,66,GroupA,Unit3,5645,10465,AgentC,Small,Low,14642,0.04881269020858506,Card,12.351509507621518,138.44421471825987,INR,0.9142013324316333,Warehouse2,3,False
62,1020,Wholesale,858,91,2024-03-02,2024-03-06,82,9822.290416458029,Pending,North,Zone1,33,GroupA,Unit1,5731,10098,AgentA,Large,Medium,37158,0.02285825716737131,NetBanking,14.02285897312744,221.91555790487928,EUR,1.157519174128296,Warehouse1,0,True
63,1840,Wholesale,880,81,2024-03-03,2024-03-07,51,7870.132047292914,Delivered,West,Zone1,62,GroupB,Unit1,5799,10241,AgentC,Medium,High,19321,0.10666762297851443,NetBanking,14.980230670247623,69.80134539460823,INR,1.4717484451574734,Warehouse2,4,False
64,1166,Retail,240,41,2024-03-04,2024-03-08,73,7361.518790271828,Delivered,West,Zone2,79,GroupA,Unit1,5363,10157,AgentA,Medium,Medium,24432,0.17159904454547173,UPI,16.64242922807999,48.57935044910601,USD,1.400445323479685,Warehouse2,0,False
65,1273,Wholesale,373,42,2024-03-05,2024-03-09,39,1250.2904696019152,Pending,East,Zone2,52,GroupA,Unit3,5201,10609,AgentB,Medium,Medium,32757,0.1473500441826455,UPI,9.609074681436265,343.2300839164985,INR,1.40074714035626,Warehouse1,2,False
66,1387,Retail,515,25,2024-03-06,2024-03-10,28,7831.859346788416,Cancelled,West,Zone3,69,GroupB,Unit3,5881,10553,AgentA,Medium,Medium,47234,0.043121812616438084,UPI,17.36920428708372,209.51088042366894,USD,0.840853628830126,Warehouse1,1,True
67,1600,Wholesale,707,85,2024-03-07,2024-03-11,3,7874.161234008549,Cancelled,East,Zone1,67,GroupA,Unit3,5145,10650,AgentC,Large,High,36044,0.07985985120515718,UPI,13.284637531600138,365.85063801643577,EUR,0.911925754798256,Warehouse2,0,True
68,1315,Wholesale,838,47,2024-03-08,2024-03-12,84,6050.91668668085,Delivered,South,Zone2,58,GroupA,Unit1,5835,10794,AgentA,Small,High,31971,0.10157884190625553,NetBanking,15.240124475086322,63.92851821443453,USD,0.7611146534362445,Warehouse1,4,False
69,1013,Wholesale,990,23,2024-03-09,2024-03-13,70,9904.581641783881,Pending,East,Zone2,51,GroupB,Unit3,5638,10919,AgentC,Medium,High,35727,0.1620411699006671,Card,14.096997565258699,308.8341184715369,USD,1.322774671932148,Warehouse1,3,False
70,1241,Wholesale,138,45,2024-03-10,2024-03-14,27,3320.013668653064,Cancelled,West,Zone2,85,GroupC,Unit2,5456,10226,AgentA,Medium,Low,32559,0.16782432062123298,UPI,7.672432429529286,227.22032875117281,USD,0.7558530411884495,Warehouse1,3,False
71,1776,Wholesale,913,32,2024-03-11,2024-03-15,2,9418.597237594331,Delivered,South,Zone1,75,GroupB,Unit1,5134,10422,AgentB,Large,Low,18284,0.1819436623815552,NetBanking,5.928698979114769,38.419340683944,USD,1.1453565366566827,Warehouse1,3,False
72,1345,Retail,128,75,2024-03-12,2024-03-16,93,9155.838038069385,Delivered,East,Zone3,20,GroupA,Unit3,5625,10071,AgentA,Medium,High,27665,0.10184905010057504,UPI,14.441724032235562,276.9529693552287,USD,0.8983004578591606,Warehouse2,3,False
73,1564,Retail,576,94,2024-03-13,2024-03-17,38,213.65853151884062,Pending,West,Zone2,99,GroupB,Unit1,5263,10242,AgentB,Medium,Low,37476,0.1388549492871726,NetBanking,11.643684681329495,50.574094610127425,USD,0.8947565072229957,Warehouse3,0,False
74,1897,Wholesale,417,11,2024-03-14,2024-03-18,3,4556.153612100629,Delivered,North,Zone1,27,GroupA,Unit2,5063,10529,AgentC,Small,Low,20991,0.02236007424678743,UPI,14.12877378930822,415.582676417594,EUR,1.492580044198084,Warehouse2,3,False
75,1339,Wholesale,344,82,2024-03-15,2024-03-19,16,9773.331907210577,Cancelled,North,Zone2,94,GroupA,Unit2,5490,10588,AgentB,Medium,Low,29561,0.11305779199079642,Card,11.198956450900976,319.65915804111415,EUR,1.30542384558283,Warehouse1,1,False
76,1091,Retail,847,74,2024-03-16,2024-03-20,94,1120.9014878399503,Pending,East,Zone2,61,GroupB,Unit1,5646,10044,AgentC,Large,High,14511,0.04973836189422703,UPI,9.059048765414552,282.9140915426197,INR,1.3695514866328402,Warehouse1,2,True
77,1366,Wholesale,796,84,2024-03-17,2024-03-21,40,5523.068474394862,Cancelled,East,Zone3,55,GroupA,Unit1,5040,10471,AgentC,Small,Medium,20796,0.08634337700532223,Card,8.705232820374388,75.39981219013293,USD,1.1575861482752101,Warehouse2,0,True
78,1955,Wholesale,371,76,2024-03-18,2024-03-22,2,9791.679319706931,Cancelled,North,Zone2,53,GroupC,Unit2,5295,10370,AgentB,Large,High,13881,0.12681010166134388,UPI,14.496917701309926,150.85398561700066,INR,1.3968114299149994,Warehouse1,0,True
79,1454,Retail,539,61,2024-03-19,2024-03-23,81,5599.404698648015,Cancelled,West,Zone2,31,GroupA,Unit1,5002,10854,AgentB,Small,High,25668,0.051397187570756224,UPI,8.59814105905507,251.50918959629666,EUR,1.2163924313330823,Warehouse2,3,True
80,1427,Wholesale,847,71,2024-03-20,2024-03-24,41,1979.1714994243443,Delivered,West,Zone1,62,GroupB,Unit2,5912,10651,AgentA,Small,Low,45181,0.010437011559352217,UPI,14.290799322030471,320.3089216834471,EUR,1.4569389638370762,Warehouse3,3,False
81,1508,Wholesale,338,32,2024-03-21,2024-03-25,12,5863.613977916639,Delivered,West,Zone1,68,GroupC,Unit2,5705,10688,AgentA,Medium,Low,44312,0.002046771281751503,NetBanking,9.99148164212592,99.78305218365622,USD,0.9250708688365094,Warehouse1,0,True
82,1775,Retail,476,35,2024-03-22,2024-03-26,35,2123.961682100514,Cancelled,East,Zone3,39,GroupC,Unit3,5974,10733,AgentB,Medium,Medium,38106,0.00443190710890431,NetBanking,15.021679256144433,14.344476285475464,USD,1.176255636626316,Warehouse3,3,True
83,1942,Retail,365,77,2024-03-23,2024-03-27,65,5245.072202655394,Cancelled,South,Zone1,17,GroupA,Unit1,5109,10926,AgentB,Medium,Medium,37222,0.0016699475027539324,Card,6.856529035174705,178.93249176195482,INR,1.2521050783495138,Warehouse3,3,False
84,1034,Retail,458,91,2024-03-24,2024-03-28,55,833.0179573322451,Pending,South,Zone1,66,GroupB,Unit1,5220,10091,AgentB,Large,Medium,25729,0.022071011311575097,Card,7.664739261656492,246.60701273255935,EUR,1.0143498440222454,Warehouse1,3,True
85,1205,Wholesale,439,64,2024-03-25,2024-03-29,45,6094.278425222606,Pending,South,Zone3,82,GroupA,Unit3,5369,10021,AgentB,Medium,Medium,14784,0.04789774291402598,NetBanking,13.916850874362126,100.3724177424335,INR,1.4037663859232425,Warehouse1,3,True
86,1080,Retail,488,15,2024-03-26,2024-03-30,79,5216.220397368766,Delivered,South,Zone2,29,GroupA,Unit2,5367,10171,AgentC,Medium,High,48394,0.04424430283645984,Card,12.283004562577414,251.16109786905085,INR,1.4838425304833236,Warehouse2,3,True
87,1931,Retail,676,44,2024-03-27,2024-03-31,90,7427.597550738485,Delivered,South,Zone3,34,GroupB,Unit1,5435,10603,AgentB,Small,Medium,47282,0.19735931883597935,Card,7.650418454080789,175.85807069894167,INR,1.0950155930981293,Warehouse2,4,True
88,1561,Retail,788,31,2024-03-28,2024-04-01,85,6343.934664471972,Pending,East,Zone1,28,GroupB,Unit3,5917,10191,AgentB,Medium,High,43913,0.06120122104178865,NetBanking,16.736751152448683,232.9939363921398,USD,1.0125125238434713,Warehouse1,4,True
89,1871,Retail,102,52,2024-03-29,2024-04-02,62,5541.102058454491,Cancelled,East,Zone3,14,GroupA,Unit3,5003,10076,AgentB,Medium,Low,19102,0.025484156671879823,NetBanking,8.587273916364403,180.25429778351105,EUR,1.077550342845167,Warehouse2,4,False
90,1387,Retail,528,24,2024-03-30,2024-04-03,49,6928.810607556399,Delivered,South,Zone2,84,GroupC,Unit1,5243,10280,AgentB,Medium,Medium,48218,0.1091125088335516,NetBanking,10.47392817651724,317.9492463955321,INR,1.3821893965855452,Warehouse3,0,False
91,1001,Retail,241,95,2024-03-31,2024-04-04,95,1525.0249443650855,Cancelled,East,Zone3,88,GroupA,Unit3,5901,10363,AgentC,Medium,Low,27950,0.17159149107950167,NetBanking,7.629743244342993,31.019535386850123,EUR,1.2163747404145342,Warehouse3,2,False
92,1389,Wholesale,475,69,2024-04-01,2024-04-05,25,5994.060646460181,Pending,East,Zone1,81,GroupC,Unit2,5165,10178,AgentA,Small,Low,14507,0.13561207535753503,UPI,10.044359038439685,93.74359207269404,EUR,0.7358178980144761,Warehouse1,0,True
93,1565,Wholesale,769,21,2024-04-02,2024-04-06,23,1803.894967945499,Delivered,South,Zone1,92,GroupA,Unit3,5025,10237,AgentA,Medium,High,47016,0.05921641782709006,NetBanking,11.391407751449165,222.04792586438978,INR,1.1337359283565718,Warehouse2,4,True
94,1105,Retail,423,58,2024-04-03,2024-04-07,24,9262.669857733621,Delivered,West,Zone3,96,GroupB,Unit2,5394,10134,AgentA,Small,Medium,23523,0.112323231958291,Card,8.838211708667949,184.58539062040978,INR,0.7138400981927758,Warehouse1,0,True
95,1771,Retail,245,51,2024-04-04,2024-04-08,38,776.5076379714816,Pending,East,Zone2,36,GroupC,Unit2,5473,10876,AgentA,Large,High,34667,0.14297119484008183,UPI,14.998217751554284,201.89965841737035,USD,1.3228282968027243,Warehouse3,2,False
96,1821,Retail,392,47,2024-04-05,2024-04-09,28,4360.710021938853,Delivered,West,Zone3,49,GroupB,Unit1,5016,10901,AgentA,Medium,Low,13992,0.14562089847354848,UPI,10.121128722401213,403.84274049143505,EUR,0.9626498188339709,Warehouse1,3,True
97,1476,Wholesale,764,91,2024-04-06,2024-04-10,21,6988.395028788904,Pending,East,Zone2,35,GroupB,Unit3,5727,10279,AgentC,Medium,Medium,18027,0.13330769105953777,Card,14.483629999463972,444.3025125412092,INR,1.0776059856938636,Warehouse1,1,True
98,1702,Wholesale,531,54,2024-04-07,2024-04-11,54,4634.419895515762,Delivered,East,Zone2,36,GroupB,Unit2,5091,10018,AgentA,Medium,Low,32144,0.1741620849551236,UPI,7.691938280073163,131.8477039138093,INR,1.3389424847261056,Warehouse1,4,True
99,1401,Wholesale,804,44,2024-04-08,2024-04-12,18,1011.7430070057333,Pending,South,Zone3,71,GroupB,Unit2,5482,10594,AgentC,Small,Low,35530,0.17402109166882088,Card,9.901461458311324,419.8316195402897,EUR,0.7371590538286092,Warehouse1,4,True
100,1729,Wholesale,684,39,2024-04-09,2024-04-13,36,5578.452259654403,Delivered,East,Zone2,92,GroupB,Unit3,5542,10739,AgentC,Medium,Medium,25305,0.11578731188140066,UPI,5.104757755641957,234.80703399227534,INR,0.8268332284732883,Warehouse3,2,False
101,1555,Wholesale,498,97,2024-04-10,2024-04-14,99,6452.15589739081,Cancelled,North,Zone1,59,GroupA,Unit2,5204,10370,AgentA,Medium,Medium,31731,0.08597127382224246,UPI,14.862288590878252,144.1721034502482,EUR,1.0183683011560918,Warehouse1,3,False
